Season_Epi_code,Pitched_Business_Identifier,Pitched_Business_Desc,Deal_Status,Deal_Shark
629,Bee Thinking,"beehives in various modern designs . Matt Reed started Bee Thinking and builds hives in Portland, Oregon from Western Red Cedar. Matt pitches the Sharks to go big with Bee Thinking so everyone can have a backyard bee hive.",0,
629,Budsies,a company that creates custom plush toys based on children's drawings ,0,
629,Forus Athletics,workout and athletic shoes ,0,
629,PullyPalz,"a pulley system to keep two pacifiers available to infants in case they lose one . Who hasnâ€™t had to pick up and suck the dirt off (yuck!) the pacifier that junior just spit out, but really wants back in a hurry? Well, now PullyPalz creates peace wherever you go. Junior can spit all he wants and grab that pacifier himself without it touching the ground.",1,LG
628,BeeSweet Lemonade,honey-sweetened lemonade with flaxseed ,1,DJ
628,BrandYourself,software to improve search results for individuals and businesses ,0,
628,iCPooch,"a device that allows two-way video chat between pets and their owners and can dispense treats . Itâ€™s hard to travel when you have a lovable puppy at home, especially when he/she cannot come along for the journey. Now there is a way to communicate and interact with your puppy while being states away. Introducing iCPooch, an innovative way to not only chat with your puppy, but also dispense treats for him/her.",0,
628,The Home T,"a line of clothing and accessories focusing on the customer's home state or land . Have you ever been walking the streets of a large metropolitan area and have people asking you where youâ€™re from (because obviously you arenâ€™t fitting in)? The Home T offers a simple solution to this situation. You can now purchase a t-shirt that has your home state on it, with a simple, yet elegant â€œhome.â€ on the front. Available in crew neck, v-neck, baseball tâ€™s, tank tops, hoodies and more! The company also sends a portion of proceeds to multiple sclerosis research and all products are made right here in the USA!",0,
627,Beneath the Ink,"a service that integrates annotated supplementary information into e-books . Beneath the Ink pitches the Shark Tank and introduces â€˜Binksâ€™ which allow publishers and authors to include extra information within their digital ebooks to give readers access to more information, related titles and even, perhaps â€“ other revenue generating options. Beneath the Ink pitches Shark Tank for a deal. ",0,
627,Melni Connectors,a simpler connector for industrial electrical cables ,1,MC
627,NeatCheeks,"wipes flavored with stevia for cleaning children's faces . NeatCheeks is a â€˜sweet flavored face wipeâ€™ that is clean, tasty, and a safe way to clean baby faces without slathering them in chemical cleaners and the nasty smells of sanitizer. No more fuss wiping your lil faces around the table.",1,BC
627,PittMoss,an alternative to peat moss manufactured from recycled newspaper . Harvesting peat moss is an environmental task and disturbs wetlands. Pitt Moss is a recycled paper substitute that has been thoroughly tested in labs and real use to replace peat moss and save the wetlands.,1,KOL+MC+RH
626,Frameri,"eyeglasses with interchangeable lenses and frames . Frameri brings us interchangeable frames and lenses â€“ simply pop the lenses out of one frame and into the one you want to wear next! Never worry about having only one frame to wear â€“ now you can coordinate, look good and still see clearly.",0,
626,The Paleo Diet Foods,"a meal bar designed for consumers of the paleo diet . How do you support your Paleo diet if youâ€™re out and about, or exercising? The Paleo Bar was invented to help you get the benefits of the Paleo Diet in a convenient nutrition bar. Now you donâ€™t have to cheat or compromise while inconveniently away from your stash of food.",0,
626,World Record Striper Company,"a rattle sinker that uses sound to attract fish, designed by the world record holder for the largest striped bass . Love to fish for Striped Bass? These amazing lures helped bag the World Record Striped Bass! These lures use sound to mimic crustaceans like baby lobsters, crabs, shrimp or crayfish to give you an extreme advantage to help you reel in the biggest fish youâ€™ve ever caught.",1,MC
626,Zero Pollution Motors,"a compressed air car manufactured by Motor Development International . Want to cut down on car exhaust? Use the AirPod from Zero Pollution Motors. At under $10,000 it runs on compressed air and has a top speed of about 50 mph. Forget the golf cart, the AirPod is the new coolest way to travel. Could it have heat and AC too? At speeds of 20mph to 30mph, it can travel 100 miles per compressed air tank.",1,RH
625,Sunscreen Mist,"a booth for automated application of sunscreen . You seen photo booths, but now there is Sunscreen Booths! Sunscreen Mist allows you to get misted with sunscreen â€“ your choice of 15/30 spf, and bug repellent, tanning agent, or even aloe. One less thing to carry with you. Now when youâ€™re at the beach, you donâ€™t need to stand down wind from that woman who sprays a whole bottle of sunscreen mist.",0,
625,SynDaver Labs,"synthetic human tissues and body parts for medical training and development . Thinking of becoming creepy? Well, now you can do it safely with artificial cadavers that are gross, creepy and realistic. And hey, you can even study medicine with them. So when youâ€™re friends find out youâ€™re a bit â€˜off kilterâ€™, you can just tell them your pre-med and donâ€™t want the stench of a dead body around â€“ totally norma.",1,RH
625,You Kick Ass,"personalized, customizable action figures ",1,Others
625,Zoom Interiors,an online interior design service . These 3 design ladies will help you transform your living space by learning about you. Itâ€™s almost like a match-making service where you get to figure out whatâ€™s best suited for you. But the girls donâ€™t come with the room.,1,Others
624,Buck Mason,"a line of basic men's clothing manufactured in the USA . Buck Mason is an American-made clothing line that features clothes that are of a â€œTimeless Designâ€ and really Made in America. Priced less that many high-end â€œmade elsewhereâ€ clothes you find in the mall, Buck Mason in the 21st century gives you a classic clothing line, made entirely in the USA and at a decent price.",0,
624,Noene USA,"ultra-thin shock absorbing shoe insoles . Bryon Scott, former NFL linebacker with four different teams, comes into the Shark Tank to pitch Noene, his high-tech insoles. Made in Switzerland, from a proprietary rubber, these insoles are designed to take the shock out of all your movement.",1,Others
624,SnagaStool,"a barstool reservation app . Snag a Stool is an app that solves the tired problem of hovering when waiting to get a seat in a crowded restaurant or bar. Only in Boston so far, this app helps you save a seat at a favorite spot on a busy or popular night.",0,
624,ZinePak,"exclusive merchandise and collectables for superfans of various entertainment media . Are you a super fan? ZinePak creates a super fan package including magazines, CDs, and lovable odds&ends that connect you more to your favorite entertainer, musician, or super pop star. Sometimes itâ€™s a special limited edition or itâ€™s widely available at super stores.",1,Others
623,Gato Cafe,"a cat café . Gato Cafe is an idea that comes to the Shark Tank to pitch a cafe full of cats. If you love cats, and there are many of you, and you want to go out to eat and be surrounded by them, well Gato Cafe is an idea you may love. Looking to open their first location Gato Cafe is still in the funding stage and was recently on IndieGoGo. ",0,
623,Shark Wheel,"a helical wheel for skateboards that is more maneuverable and has better grip . The pitch to the Shark Tank is for square skateboard wheels â€“ ok almost square â€“ square plus semi-circular plus a sinewave. Invented for another reason, these wheels allow boarders to avoid crashing from dibree or rough terrain.",1,KOL+MC
623,Spikeball,"a variant of volleyball with a circular net in the middle of the field . Spikeball pitches Shark Tank a new game that is like four-square meets volleyball outdoor sport for pairs. Instead of a net, there is a small, round trampoline on the ground between the two teams and you spike the ball into it. With no out of bounds, youâ€™re sure to get exercise and have lots of fun.",1,DJ
623,Sway Motorsports,"an electric commuter vehicle with characteristics of a motorcycle and an all-terrain vehicle . Sway motorsports pitches the Shark Tank. Imagine a scooter with three wheels but instead of turning the wheels to turn, you lean, a bit like skiing meets the motorcycle. More fun, this electric, rechargeable scooter can go 40+ miles on a charge and is great for zooming safely around town.",1,MC
622,BoobyPack,a sports bra with pockets for holding valuables ,1,BC
622,Gold Rush Nugget Bucket,"a bucket and screen system to make panning for gold easier . Solving the tedious process of panning little grains of gold from debris, Gold Rush Nugget Bucket concentrates the tiny particles of gold in the pan beneath; making the gold panning process easy. Beautifully organizing particles of valuable rock, Gold Rush Nugget Bucket Gold Panning Kit is a gold mining dream.",1,RH
622,Lumi,"a do-it-yourself process for printing photos onto clothing . Want to design a shirt the modern way? Lumi Solar-powered t-shirt printing is the easiest way to print your own shirts and textiles. Featuring innovative, solar powered Inkodyne, Lumi is a printing kit that comes with everything you need print awesome, new-age patterns and colors on just about any clothing material you can get your hands on. Simply apply the ink for about 10 minutes on a nice sunny day and boom, done!",0,
622,Sseko Designs,"handcrafted sandals with interchangeable accents . Sseko Designs have a history of employing women in Uganda to make sandals, giving them the opportunity to earn money and pursue education. The sandal company is pioneer in producing t-strap sandals and unique custom sandals. Sseko also produces lace up and stylish ribbon sandals unlike footwear you have seen before.",0,
621,Aqua Vault,a locking container that can be attached to chairs and rails to secure valuables while swimming ,1,DJ
621,Echo Valley Meats,"the gourmet meat business founder returns to pitch his company again . Specializing in â€œold fashion butcher shopâ€ quality, Echo Valley Meats provides award winning meats out of Peoria, Illinois for the virtual gourmet online market. Its founder, Dave Alwan, is a third generation cattleman/farmer/businessman, whoâ€™s made it his mission to provide the best hams, smoked sausages, and other meats. He has traveled to Germany and Denmark to be trained by the best, and it shows! Although it primarily deals in high-quality meats, it also sells homemade cheese spreads, cinnamon roasted nuts, and cookie dough. You might have already gotten a taste of Echo Valley Meats as a product on Shark Tank, you can also go download their catalog to settle your cravings!",1,MC
621,EmazingLights,"LED-powered light gloves for gloving in dance clubs . Opening doors to creative expression, what was once a simple LED toy for music festivals, these gloves have created a community of Light Show artists to transform the way we think of entertainment and art. A trending product growing exponentially in popularity, EmazingLights provides LEDs, gloves, accessories, and apparel for light enthusiasts everywhere. Perfect for clubbing, musical events, and light shows, EmazingLights products are the first in a wave of new party accessories. Located in sunny California, they also puts on local events such as Friday Night Lights, BOSS Competitions, and the International Gloving Championship!",1,DJ+MC
621,Naja,"a lingerie brand . Najaâ€™s lingerie lines are built on the belief that a high-quality bra should not cost you $80+, but should also not sacrifice quality to attain a low price.Â Stylish in design, Naja underwear, bras, knickers and lingerie products feature a quality and attention to detail that only luxury brands tend to provide. Right down to the materials used for their memory foam cups, interior bra prints, and ultrasonic sealed bra straps. The products are also artsy, especially their â€œCheeky Knickersâ€ collection, which features prints with foods on them, kitty cats, and East Asian-inspired designs. Donâ€™t be alarmed though, if you like traditional designs and colors, Naja still has you covered (literally)! Naja also combines their business with an entrepreneurial stroke with their sewing program through the Golondrinas Foundation, which teaches single or head of household mothers to sew and make a living doing it! Add a little style to your behind and grab a pair now!",0,
620,GreenBox,"a pizza delivery box made out of recycled materials that can be broken down into plates and storage containers . Eco-friendly and 100% recyclable, the GreenBox Pizza Box is a game changer in the Pizza delivery industry. It is uniquely engineered to break up into four sturdy plates and still maintain itâ€™s box use for storing left overs. This eliminates the need to waste the likes of plastic wrap, aluminum foil disposable plates and more. Own a Pizza place? GreenBox offers customization to suit your branding! Get GreenBox, the pizza box of the 21st century.",1,Others
620,Phonesoap,"a device that uses ultraviolet light to remove bacteria from cell phones while charging them . â€“ UV Phone Device Sanitizer & Charger Have you ever taken a moment to realize how dirty our phones are? Whether you have or not, it is a fact that our phones are EXTREMELYÂ filthy. The truth is our phones are more bacteria-filledÂ than a toilet or the scum off the bottom of your shoe. Sure, you can use phone sanitizer wipes, but that can get somewhat costly and is rather inconvenient. Enter PhoneSoap Phone Sanitizer, the first and only of its kind and the easiest and most effective way to sanitize your phone. Killing 99.9% of germs with powerful UV lights,Â PhoneSoap allows you toÂ seamlessly sanitize your smart phone during the time you are charging.",1,LG
620,Tycoon Real Estate,"a crowd investing platform for real estate . Tycoon Real Estate, the online investment club for serious real estate investors seeking high-end, otherwise inaccessible private investments of virtually all asset classes. Discover deals, share expertise, invest together, and profit with Tycoon Real Estate.",0,
620,Victoria's Kitchen Almond Water,"a line of almond water beverages . Inspired by a very special grandmaâ€™s recipe from South France, Victoriaâ€™s Kitchen Almond Water is a tasty alternative to lemonade or Iced Tea and an absolute delight! Containing purified water, cane sugar, natural flavorsÂ andÂ extracts, Victoriaâ€™s Kitchen Almond Water uses only the best ingredients. The flavors include Original, Coconut and Organic Lemonade. Yum!",0,
619,Bello Verde,a custom suit and clothing label ,0,
619,Lumio,"an elegant lighting device that folds like an accordion . Lumio is simply one of those â€œoooh and ahhhâ€ kind of products. Dynamic and multi-functional, Lumio is a hard-cover book when closed and a bright and vivid lamp when opened. Lumio Book Lamp is perfect for when youâ€™re outdoors or on the go and also in the comfort of your own home. It opens up to a full 360 degrees and provides up to 8 hours of LED lighting when charged with a micro-USB charger. Lumio is available in two different book forms including Dark Walnut and Blonde Maple. Each set comes with magnetic wooden pegs for mounting and a leather strap for easy hanging.",1,RH
619,Napwell,a sleep mask that uses light to wake the user gradually . The Worldâ€™s First Napping Mask. Fall asleep gently and wake up refreshed with Napwell Sleeping Mask.Â ,0,
619,TurboPUP,"complete canine meal bars . Fuel your dog with TurboPup K9 Energy Bars. Healthy, human grade, all natural and grain-free, TurboPup is the go-to on the go treat for your pup. The Dog energy bar is a complete meal replacement and full of premium ingredients in one compact bar. TurboPup is a delightful, dog-approved pet food perfect for when you are out on a day hike, camping or an extended trip.",1,Others
618,BedRyder,a set of seats with restraints to be installed in the bed of a pickup truck to allow passengers to ride in truck beds legally ,0,
618,Coco Jack,a set of tools for easier opening of Thai coconuts and extracting the meat from within . Coco Jack is a safe and easy way to open young Thai Coconuts.,1,Others
618,Frill Clothing,"designers and producers of custom clothing for college sororities . Creating looks that empower young women, Frill Clothing designs unified and defined clothing for sorority girls.",1,Others
618,The Twin Z Pillow,"a pillow that is specially designed to aid mothers of multiple children feed two children simultaneously . Momâ€™s of twins, your prayers have been answered! The Twin Z Pillow is the FIRST and ONLY pillow for twins out there on the market today. The pillow has up to six uses; it can be used for breastfeeding and bottle feeding, tummy time, for support, for momâ€™s as a pregnancy pillow and toddlers too. All in all itâ€™s the perfect, most convenient soft pillow for mothers with multiples.Â This cushion is suitable for all sized babies and has a removable washable cover that can be put into any washer machine and dryer combination. Life EASIER for Momâ€™s with multiples!",1,Others
617,Keen Home,air vents for smart homes that can control air flow to individual areas ,1,Others
617,LuminAID,"an inflatable, solar powered lighting device ",1,Others
617,Scholly,an app that helps match students to scholarships ,1,Others
617,Taaluma Totes,backpacks made from traditional fabrics from various countries ,0,
616,Balm Chicky Balm Balm,a lip balm container with a secondary tip for sharing with others without spreading germs ,0,
616,BedJet,"a climate control system for maintaining beds at a desired temperature . Weâ€™ve all been there. Canâ€™t sleep because you are eitherÂ too hot or too cold. If only there was something you could do that would instantly make sleeping in your bed comfortable on any of these given nights. Your solution,Â is here. BedJet is a luxury climate control system that cools or heats within your bed. Itâ€™s especially perfect for couples who have opposite tastes for surrounding temperatures, as BedJet can control the climate of both sides of the bed. No, for real, one side can be cool and the other side warm.",0,
616,Drain Strain,"a sink stopper that keeps drains free from hair clogs . Tired of clogged drains? Drain Strain, the Never Clog Drain System is the solution to this annoying and costly problem. With Drain Strain, say good bye to high cost plumber calls and environmentally harmful chemicals for pouring use down your drain. Drain Strain is also preventative in terms of losing valuables such as jewelry and contacts. Drain Strain is easy to install and uninstall too! Just â€œTurn, Lift & Clickâ€.",1,Others
616,Fresh Patch,"a delivery service for patches of live grass for pet owners without yards . Fresh Patch is real grass and the perfect training solution for your new puppy. Alternative to the traditional pee pad, Fresh Patch uses natural grass, grabbing you petâ€™s instinctive attention. Fresh Patch is full disposable, requiring no emptying, cleaning or disinfecting. Since itâ€™s real grass here, it naturally absorbs urine and controls odors. Itâ€™s also very convenient, eco-friendly and very much affordable. Get your Fresh Patch today!",1,Others
615,BeverageBoy,a beverage koozie that floats in water ,1,DJ
615,FunBites,"plastic devices for cutting food into fun shapes for children who are picky eaters . Are your kids picky when it comes to eating healthy food or any food in generalÂ you know they would like if they just tried it? Funbites gives you a fighting chance! Funbites food cutter turns normal food into bite-sized fun shaped your children can enjoy. Coming in a variety of cool shapes and colors, Funbites is strong, durable and made in the USA. They are perfect for pancakes, deli meat, grilled cheese, quesadillas, burgers and more!",1,LG
615,Himalayan Dog Chew,"high nutrient dog treats made from specially processed yak cheese . OriginallyÂ createdÂ from an ancient Himalayan recipe, Himalayan Dog Chew are hard cheese snacks made of Yak and Cow Milk editable for all sized dogs. Containing all natural products and no preservatives, Himalayan Dog Chews are a healthy, high quality dog chew sure to give your pet plenty of eating entertainment.",0,
615,The Lip Bar,a line of lipsticks in nontraditional colors . Create any customized lipstick shade with the Lip Bar. Perfect for women looking for that unique and creative shade of lipstick.,0,
614,Eve Drop,a sliding clip that raises Christmas lights behind the eaves on a roof when out of season so they don't need taken down and rehung each year . NEVER hang your Christmas lights again. That is undoubtedly appealing to those whoÂ put up and take downÂ their Christmas lights every year.Â With Eve Drop Christmas Light Hangers you install the savvy light hangers once and then never again. After the holiday season you simply slide your lights up in seconds and hide them away under your eaves. Permanent Christmas lights. Life hack accomplished.,0,
614,Hoppy Paws,"stamp kits for simulating tracks left by holiday characters such as Santa's reindeer or the Easter Bunny . Create a new family tradition this Christmas and surprise your children with proof of a visit from Santa with Hoppy Paws stamp kit. Hoppy Paws â€œSantaâ€™s Reindeer Hoof Print Stamp Kitâ€ includes a stamp kit, mixing tray and a secret powderÂ to create a life sized, realistic Santaâ€™s reindeer hoof print. Hoppy Paws will also offer more of a library next year with Santaâ€™s Elf, the Easter Bunny, the Tooth Fairy and more!",1,BC
614,Q-Flex,"a personal acupressure device . Â Suffer from body soreness? Wife wonâ€™t give you a massage? A self acupressure massage device, the Q-Flex is designed to relieve common stress and tension by simply applying pressure to specific points of your body. It isÂ light in weight, durable and so easy anyone can use it. The Q Flex AcupressureÂ is made from high quality polycarbonate material which lets the device bend just enough without breaking.",1,BC
614,The Mensch on a Bench,"an alternative to The Elf on the Shelf for Jewish families . Another tradition for Hanukkah intended to bring families together, Mensch on a Bench was created by a father who wanted to teach his kids the meaning of the Jewish holiday, all while starting a new holiday tradition. The Mensch on a Bench set includes a 12â€³ plush Moshe doll, a hardcover book and removable bench.",1,LG+RH
613,Biaggi,"a line of collapsible, folding luggage designed to save space when not in use . EveryoneÂ with traditional luggage wishes that when they are not traveling their luggage would just disappear. Itâ€™s bulky, awkward and takes up way too much space. Enter . A line of collapsable, convenient, folding wheel luggage thatÂ you can easily store anywhere in the house when youâ€™re not using it.",1,LG
613,Gameday Couture,"fashionable sports team wear for women . Lady alumni, love sports but hateÂ the clothing? Well, the answer to your ugly jersey wearing woes has arrived. Gameday Couture has created aÂ fashion lineÂ of collegiate gameday apparel designed specificallyÂ for women. With over 35 university licenses available, finally you can proudly represent your team in style!",1,MC
613,Soaps Washes and Grooming Essentials,"an exfoliating and moisturizing soap bar specially formulated for men . From an award winning estheticianÂ comeÂ Soap Washes and Grooming Essentials. SWAG for short, are soapÂ products for men that exfoliate and moisturize sensitiveÂ skin to reduce razor burn and hair bumps. Itâ€™s natural, handcrafted, contains high quality ingredients and Barber and Physician approved.",0,
613,Zipz,"a proprietary container and brand for a single serving of wine, similar to Copa di Vino but in a resealable glass . Zipz Wine is the industryâ€™s answer to portable single serving wine that aluminum cans were for the soda industry.Â Its container is extremely durable with a high quality plastic vessel that looks identical to glassware. Zipz also has a patented CleanWrap technology that preserves the freshness and shelf life of this revolutionary wine product.",1,KOL
612,Earth Log,"an environmentally friendly recycled firelog . an organic, cleaner-burning firelog with better odors",1,LG
612,Kitchen Safe,"a container with a timer-lock closure to keep tempting food or items out of reach . Say hello to Kitchen Safe, the time locking container. Toted as a tool to build good habits and self discipline, the Kitchen Safe is intended to do more than just lock away the cookies from little Johnny until after dinner. Get creative with the TV remote and Xbox controller too. Man am I glad this wasnâ€™t invented during the 90s.",1,LG
612,MagicCook,"a portable cooking device that uses an instant heat pack to cook foods or liquids, not requiring power or fire . The Magiccook is a container that uses an instant heat pack to cook foods or liquids conveniently. Itâ€™s perfect for camping, fishing, hunting, boating, truck drivers, construction workers, field workers, hiking, at the office desk, anytime on the go, emergency situations and more.",1,DJ
612,Off the Cob,tortilla chips made with sweet corn instead of grain corn . corn tortilla chips manufactured from sweet corn as opposed to grain corn,0,
611,Bantam Bagels,"mini bagel balls filled with varieties of cream cheese . Bagel lovers UNITE! Bantam Bagels are compact ball shaped bagels pre-filled with artisan cream cheese. With 15 flavors ranging from your traditional â€œEverythingâ€ to â€œCookies and Milkâ€, these mini New York bagels are crispy, chewy and convenient. Perfect morning snack for when you are on the go and do not want to deal with the messy process of applying the cream cheese yourself. You are all in for a treat.",1,LG
611,Coffee Meets Bagel,"an online dating service that uses social media aspects to match singles . While it is easy to say â€œyetâ€ another dating app,Â contrast to the hookupÂ friendlyÂ  and Â offers another take at the realm of online dating. The conceptÂ ofÂ Â is simply getting setup with a profile andÂ networking through your social circle of friends to find a potential love interest. It takes out the arguably strange and shameful stigma that comes with the territory of online dating, and instead brings in a bit of that human element. It can virtually be compared to meeting a friend of a friend at a dinner party.",0,
611,Doorman,"a service that re-delivers packages ordered online during hours convenient to the customer . Never miss a package delivery ever again!  allows you toÂ schedule deliveries as late as midnight, 7 days a week! Perfect it you work late or do not want to be strapped to the inconvenient traditional delivery times. Try your first package for free with the ",1,RH
611,SkinnyShirt,"a cross between a button-down shirt and a camisole specially designed to reduce bulk .  SkinnyShirt gives you a collared shirt without the clunky bunchiness a normal collared shirt gives you. Skinny Shirt is perfectly knit cami combined with a favorite button down. 90% nylon and 10% spandex, the SkinnyShirt body is a stretchy knit that smoothes and better shapes around your figure. It can be paired with just about anything in your closet such as v-necks, crew necks, cardigans, shift dresses, blazers and more.",0,
610,Heidi Ho,"a dairy-free line of plant-based cheese spreads . If you are on a dairy-free diet and miss being able to eat cheese, Heidi Ho offers a dairy-free line of plant-based cheese spreads.  Heidi Ho products are dairy and gluten free, & many of them are also soy free. The cheese is made from organic nuts, seeds, vegetables, and herbs and spices.",1,LG
610,Pipsnacks,"a line of organic mini-popcorn snacks . Love the branding and packaging with this product. All natural, gluten free and selected as Oprahâ€™s â€œfavorite thingâ€ in 2012, Pipcorn is a delicious alternative to popcorn. The snack is non-GMO, vegan friendly and whole grain. Best of all? It does not get stuck in your teeth! Pipcorn is available in Truffle, Sea Salt, Kettle and Rosemary flavors.",1,BC
610,Squatty Potty,"a footstool that puts the user of a western toilet in a squatting position for more natural, healthier bowel movements . Apparently, weâ€™ve been going to the bathroom all wrong! As ridiculous as it sounds, bad toilet posture negatively affects your health (consitipation, hemorroids, bloating, IBS, etc.). Use the toilet right with Squatty Potty for fast and easy elimination. Ecco and Tao Bamboo are available in both 7â€³ and 9â€³ sizes.",1,LG
610,Storm Stoppers,protective window coverings for use during hurricanes as an alternative to plywood . Storm Stoppers are protective window coverings for use during strong storms or hurricanes as an alternative to plywood. The product is lightweight and you do not need screws or bolts to install them.  ,0,
609,Beardbrand,"a kit of facial hair maintenance products . While Lori Greiner does not get the beard thing, that doesnâ€™tÂ negate the fact Beardbrand created some solid grooming products for the lifestyle. Established in 2012, BeardbrandÂ produces beard oils that are made from high quality all natural ingredients that soften, give shine and smell great.",0,
609,Myself Belts,a velcro belt specially designed for young children . a velcro belt specially designed for young children,1,DJ
